NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,PRICE,ID
0.43700000000000006,6.232,53.7,5.0141,5.0,398.0,18.7,386.4,12.34,21.2,105
0.584,5.565,70.6,2.0635,,666.0,20.2,3.65,17.16,11.7,106
0.605,6.25,92.6,1.7984,5.0,403.0,14.7,338.92,5.5,27.0,107
,6.153,68.8,3.2797,3.0,193.0,17.8,387.11,13.15,29.6,108
0.52,6.781000000000001,71.3,2.8561,5.0,384.0,20.9,395.58,7.67,26.5,109
,7.47,52.6,2.872,5.0,264.0,13.0,390.3,3.16,43.5,110
0.51,6.416,84.1,2.6463,5.0,296.0,16.6,395.5,9.04,23.6,111
0.679,6.193,78.1,1.9356,24.0,666.0,20.2,96.73,21.52,11.0,112
0.47200000000000003,7.42,71.9,3.0992,7.0,222.0,18.4,396.9,6.47,33.4,113
0.647,7.332999999999999,100.0,1.8946,,264.0,13.0,383.29,7.79,36.0,114
0.43700000000000006,7.178,26.3,6.4798,5.0,398.0,15.2,390.49,2.87,36.4,115
0.515,5.985,45.4,4.8122,5.0,224.0,20.2,396.9,9.74,19.0,116
0.5379999999999999,5.456,36.6,3.7965,4.0,307.0,21.0,288.99,11.69,20.2,117
0.428,7.024,15.8,5.4011,3.0,252.0,18.3,395.62,1.98,34.9,118
0.575,8.297,67.0,2.4216,5.0,264.0,13.0,384.54,7.44,50.0,119
,5.867999999999999,25.8,5.2146,,430.0,16.9,382.44,9.97,19.3,120
,6.728,94.1,2.4961,,666.0,20.2,6.68,18.71,14.9,121
,6.77,2.9,5.7209,,233.0,17.9,385.41,4.84,26.6,122
,6.251,91.1,2.2955,24.0,666.0,20.2,350.65,14.19,19.9,123
0.405,6.565,22.9,7.3172,6.0,293.0,16.6,371.72,9.51,24.8,124
,6.019,65.3,2.4091,6.0,391.0,19.2,396.9,12.92,21.2,125
,6.127000000000001,18.4,5.5027,4.0,289.0,16.0,396.9,8.58,23.9,126
0.573,6.12,76.7,2.2875,1.0,273.0,21.0,396.9,9.08,20.6,127
0.51,5.572,88.5,2.5961,5.0,296.0,16.6,396.9,14.69,23.1,128
0.426,6.727,33.5,5.4007,4.0,281.0,19.0,396.9,5.29,28.0,129
0.44799999999999995,5.7860000000000005,33.3,5.1004,3.0,233.0,17.9,396.9,14.15,20.0,130
0.544,6.382000000000001,67.2,3.5325,4.0,304.0,18.4,395.21,10.36,23.1,131
0.46399999999999997,6.211,28.9,3.6659,4.0,270.0,18.2,396.33,6.21,25.0,132
0.7,5.0360000000000005,97.0,1.77,,666.0,20.2,396.9,25.68,9.7,133
0.426,6.619,70.4,5.4007,4.0,281.0,19.0,395.63,7.22,23.9,134
0.47200000000000003,7.236000000000001,41.1,4.022,7.0,222.0,18.4,393.68,6.93,36.1,135
0.871,5.403,100.0,1.3216,5.0,403.0,14.7,396.9,26.82,13.4,136
,5.976,87.9,2.5806,24.0,666.0,20.2,10.48,19.01,12.7,137
0.488,7.765,83.3,2.741,3.0,193.0,17.8,395.56,7.56,39.8,138
,6.968,91.9,1.4165,24.0,666.0,20.2,396.9,17.21,10.4,139
0.413,5.936,19.5,10.5857,4.0,334.0,22.0,376.04,5.57,20.6,140
,6.151,97.9,1.6687,4.0,437.0,21.2,396.9,18.46,17.8,141
0.52,5.836,91.9,2.211,,384.0,20.9,395.67,18.66,19.5,142
,6.481,18.5,6.1899,6.0,300.0,16.6,379.41,6.36,23.7,143
0.41100000000000003,6.861000000000001,27.9,5.1167,,245.0,19.2,396.9,3.33,28.5,144
0.431,6.108,34.9,8.0555,7.0,330.0,19.1,390.18,9.16,24.3,145
0.493,6.426,52.3,4.5404,5.0,287.0,19.6,396.9,7.2,23.8,146
0.584,6.002999999999999,94.5,2.5403,24.0,666.0,20.2,331.29,21.32,19.1,147
,6.625,57.8,3.4952,2.0,276.0,18.0,357.98,6.65,28.4,148
,5.961,92.9,2.0869,,188.0,19.1,378.09,17.93,20.5,149
,7.202999999999999,81.8,2.1121,,264.0,13.0,392.8,9.59,33.8,150
0.5379999999999999,5.813,100.0,4.0952,4.0,307.0,21.0,394.54,19.88,14.5,151
0.5379999999999999,5.949,61.8,4.7075,4.0,307.0,21.0,396.9,8.26,20.4,152
0.45299999999999996,5.966,93.4,6.8185,8.0,284.0,19.7,378.08,14.44,16.0,153
0.6709999999999999,6.794,98.8,1.358,24.0,666.0,20.2,396.9,21.24,13.3,154
0.428,6.595,21.8,5.4011,3.0,252.0,18.3,395.63,4.32,30.8,155
0.718,3.5610000000000004,87.9,1.6132,24.0,666.0,20.2,354.7,7.12,27.5,156
0.46399999999999997,6.537999999999999,58.7,3.9175,3.0,223.0,18.6,394.96,7.73,24.4,157
0.489,6.064,59.1,4.2392,4.0,277.0,18.6,381.32,14.66,24.4,158
,6.631,76.5,4.148,8.0,307.0,17.4,388.45,9.54,25.1,159
,7.82,36.9,3.4952,2.0,276.0,18.0,393.53,3.57,43.8,160
0.718,8.78,82.9,1.9047,24.0,666.0,20.2,354.55,5.29,21.9,161
,6.718,17.5,7.8265,7.0,330.0,19.1,393.74,6.56,26.2,162
0.718,6.006,95.3,1.8746,24.0,666.0,20.2,319.98,15.7,14.2,163
0.614,5.648,87.6,1.9512,24.0,666.0,20.2,291.55,14.1,20.8,164
0.385,6.23,31.5,9.0892,,241.0,18.2,341.6,12.93,20.1,165
0.429,6.516,27.7,8.5353,,351.0,17.9,392.43,6.36,23.1,166
0.6709999999999999,6.38,96.2,1.3861,24.0,666.0,20.2,396.9,23.69,13.1,167
0.624,5.693,96.0,1.7883,4.0,437.0,21.2,392.11,17.19,16.2,168
0.426,6.3020000000000005,32.2,5.4007,4.0,281.0,19.0,396.9,6.72,24.8,169
0.713,6.513,89.9,2.8016,24.0,666.0,20.2,393.82,10.29,20.2,170
0.489,5.7829999999999995,72.7,4.3549,4.0,277.0,18.6,389.43,18.06,22.5,171
0.5379999999999999,6.047000000000001,88.8,4.4534,4.0,307.0,21.0,306.38,17.28,14.8,172
0.489,7.079,63.1,3.4145,2.0,270.0,17.8,396.06,5.7,28.7,173
0.58,5.712999999999999,56.7,2.8237,24.0,666.0,20.2,396.9,14.76,20.1,174
,6.245,6.2,5.2873,4.0,305.0,19.2,377.17,7.54,23.4,175
0.43700000000000006,6.782,41.1,3.7886,5.0,398.0,15.2,393.87,6.68,32.0,176
0.605,5.88,97.3,2.3887,5.0,403.0,14.7,348.13,12.03,19.1,177
,7.489,90.8,1.9709,,403.0,14.7,374.43,1.73,50.0,178
0.409,5.885,33.0,6.497999999999999,4.0,345.0,18.9,396.9,8.79,20.9,179
0.507,6.164,91.3,3.048,8.0,307.0,17.4,395.24,21.46,21.7,180
0.489,6.405,73.9,3.0921,2.0,270.0,17.8,393.55,8.2,22.0,181
0.597,6.657,100.0,1.5275,24.0,666.0,20.2,35.05,21.22,17.2,182
0.40399999999999997,7.107,36.6,7.309,,329.0,12.6,354.31,8.61,30.3,183
0.7,5.52,100.0,1.5331,24.0,666.0,20.2,396.9,24.56,12.3,184
0.581,5.986000000000001,88.4,1.9929,2.0,188.0,19.1,385.02,14.81,21.4,185
0.431,6.226,79.2,8.0555,7.0,330.0,19.1,376.14,10.15,20.5,186
,7.691,51.8,4.3665,3.0,223.0,18.6,390.77,6.58,35.2,187
0.45299999999999996,5.9270000000000005,47.2,6.932,8.0,284.0,19.7,396.9,9.22,19.6,188
0.581,5.87,69.7,2.2577,2.0,188.0,19.1,389.15,14.37,22.0,189
0.524,5.888999999999999,39.0,5.4509,5.0,311.0,15.2,390.5,15.71,21.7,190
0.713,6.525,86.5,2.4358,,666.0,20.2,50.92,18.13,14.1,191
0.46399999999999997,5.856,42.1,4.428999999999999,3.0,223.0,18.6,388.65,13.0,21.1,192
0.6709999999999999,7.313,97.9,1.3163,24.0,666.0,20.2,396.9,13.44,15.0,193
0.573,6.03,80.8,2.505,1.0,273.0,21.0,396.9,7.88,11.9,194
0.713,6.081,84.4,2.7175,24.0,666.0,20.2,396.9,14.7,20.0,195
0.605,6.943,97.4,1.8773,,403.0,14.7,363.43,4.59,41.3,196
0.515,5.968,58.5,4.8122,5.0,224.0,20.2,396.9,9.29,18.7,197
0.488,7.831,53.6,3.1992,3.0,193.0,17.8,392.63,4.45,50.0,198
0.6679999999999999,5.875,89.6,1.1296,24.0,666.0,20.2,347.88,8.88,50.0,199
,6.218999999999999,100.0,2.0048,24.0,666.0,20.2,395.69,16.59,18.4,200
0.597,4.628,100.0,1.5539,24.0,666.0,20.2,28.79,34.37,17.9,201
0.489,6.375,32.3,3.9454,4.0,277.0,18.6,385.81,9.38,28.1,202
,6.297000000000001,91.8,2.3682,24.0,666.0,20.2,385.09,17.27,16.1,203
0.442,5.898,52.3,8.0136,3.0,352.0,18.8,364.61,12.67,17.2,204
0.43700000000000006,6.678,31.1,5.9604,4.0,289.0,16.0,396.9,6.27,28.6,205
0.489,7.007000000000001,86.3,3.4217,2.0,270.0,17.8,396.9,5.5,23.6,206
,6.041,49.9,4.7211,5.0,287.0,19.6,396.9,7.7,20.4,207
0.624,6.3260000000000005,97.7,2.271,4.0,437.0,21.2,396.9,12.26,19.6,208
0.581,5.879,95.8,2.0063,2.0,188.0,19.1,379.38,17.58,18.8,209
0.51,5.859,68.7,2.7019,5.0,296.0,16.6,393.23,9.64,22.6,210
0.713,6.376,88.4,2.5671,24.0,666.0,20.2,391.43,14.65,17.7,211
,6.739,30.8,6.4798,5.0,398.0,15.2,389.71,4.69,30.5,212
0.5379999999999999,6.096,84.5,4.4619,4.0,307.0,21.0,380.02,10.26,18.2,213
0.583,5.871,41.9,3.7239999999999998,24.0,666.0,20.2,370.73,13.34,20.6,214
0.431,6.487,13.0,7.3967,7.0,330.0,19.1,396.28,5.9,24.4,215
0.581,5.856,97.0,1.9444,,188.0,19.1,370.31,25.41,17.3,216
,5.857,98.2,1.6686,4.0,437.0,21.2,392.04,21.32,13.3,217
0.547,6.715,81.6,2.6775,6.0,432.0,17.8,395.59,10.16,22.8,218
0.439,6.115,63.0,6.8147,,243.0,16.8,393.97,9.43,20.5,219
0.583,6.312,51.9,3.9917,24.0,666.0,20.2,388.62,10.58,21.2,220
0.547,5.912999999999999,92.9,2.3534,6.0,432.0,17.8,394.95,16.21,18.8,221
0.524,6.004,85.9,6.5921,5.0,311.0,15.2,386.71,17.1,18.9,222
0.5379999999999999,5.727,69.5,3.7965,4.0,307.0,21.0,390.95,11.28,18.2,223
0.5379999999999999,5.935,29.3,4.4986,4.0,307.0,21.0,386.85,6.58,23.1,224
,7.2410000000000005,49.3,7.0379,1.0,284.0,15.5,394.74,5.49,32.7,225
,6.575,65.2,4.09,1.0,296.0,15.3,396.9,4.98,24.0,226
,6.223,100.0,1.3861,24.0,666.0,20.2,393.74,21.78,10.2,227
0.52,5.851,96.7,2.1069,5.0,384.0,20.9,394.05,16.47,19.5,228
0.447,6.8260000000000005,27.6,4.8628,4.0,254.0,17.6,393.45,4.16,33.1,229
0.713,6.749,92.6,2.3236,24.0,666.0,20.2,0.32,17.44,13.4,230
,5.454,92.7,1.8209,4.0,711.0,20.1,395.09,18.06,15.2,231
0.4,6.871,47.4,7.8278,5.0,358.0,14.8,390.86,6.07,24.8,232
0.504,5.981,68.1,3.6715,8.0,307.0,17.4,378.35,11.65,24.3,233
0.679,6.38,95.6,1.9682,24.0,666.0,20.2,60.72,24.08,9.5,234
0.413,6.417000000000001,6.6,5.2873,4.0,305.0,19.2,383.73,6.72,24.2,235
0.493,5.707999999999999,74.3,4.7211,,287.0,19.6,391.13,11.74,18.5,236
0.39399999999999996,7.454,34.2,6.3361,3.0,244.0,15.9,386.34,3.11,44.0,237
,7.922999999999999,24.8,5.885,1.0,198.0,13.6,395.52,3.16,50.0,238
0.499,5.966,30.2,3.8473,5.0,279.0,19.2,393.43,10.13,24.7,239
0.871,6.122000000000001,97.3,1.618,5.0,403.0,14.7,372.8,14.1,21.5,240
0.74,5.935,87.9,1.8206,24.0,666.0,20.2,68.95,34.02,8.4,241
0.585,5.707000000000001,54.0,2.3817,6.0,391.0,19.2,396.9,12.01,21.8,242
0.605,8.375,93.9,2.162,5.0,403.0,14.7,388.45,3.32,50.0,243
,5.877000000000001,79.2,2.4259,5.0,403.0,14.7,227.61,12.14,23.8,244
,6.757999999999999,32.9,4.0776,4.0,254.0,17.6,396.9,3.53,32.4,245
0.489,6.3260000000000005,52.5,4.3549,,277.0,18.6,394.87,10.97,24.4,246
0.431,5.593,76.5,7.9549,7.0,330.0,19.1,372.49,12.5,17.6,247
0.43700000000000006,6.556,29.1,4.5667,5.0,398.0,15.2,382.84,4.56,29.8,248
0.74,6.461,93.3,2.0026,24.0,666.0,20.2,27.49,18.05,9.6,249
0.614,6.484,93.6,2.3053,,666.0,20.2,396.21,18.68,16.7,250
0.871,6.13,100.0,1.4191,5.0,403.0,14.7,172.91,27.8,13.8,251
0.447,6.854,42.8,4.2673,4.0,254.0,17.6,396.9,2.98,32.0,252
0.584,6.425,74.8,2.2004,24.0,666.0,20.2,97.95,12.03,16.1,253
,5.349,96.0,1.7028,24.0,666.0,20.2,396.9,19.77,8.3,254
0.429,6.939,34.5,8.7921,1.0,335.0,19.7,389.85,5.89,26.6,255
0.713,6.436,87.9,2.3158,24.0,666.0,20.2,100.19,16.22,14.3,256
0.597,5.757000000000001,100.0,1.413,24.0,666.0,20.2,2.6,10.11,15.0,257
0.47200000000000003,6.6160000000000005,58.1,3.37,7.0,222.0,18.4,393.36,8.93,28.4,258
,7.087999999999999,20.8,7.3073,1.0,285.0,15.3,394.72,7.85,32.2,259
,5.706,28.4,6.6407,1.0,304.0,16.9,394.02,12.43,17.1,260
0.51,6.546,33.1,3.1323,5.0,296.0,16.6,390.96,5.33,29.4,261
0.679,5.303999999999999,89.1,1.6475,24.0,666.0,20.2,127.36,26.64,10.4,262
,5.803,89.0,1.9047,24.0,666.0,20.2,353.04,14.64,16.8,263
0.504,6.5520000000000005,21.4,3.3751,8.0,307.0,17.4,380.34,3.76,31.5,264
0.597,6.852,100.0,1.4655,24.0,666.0,20.2,179.36,19.78,27.5,265
0.504,7.686,17.0,3.3751,8.0,307.0,17.4,377.51,3.92,46.7,266
0.52,6.727,79.9,2.7778,5.0,384.0,20.9,394.76,9.42,27.5,267
0.597,5.617000000000001,97.9,1.4547,24.0,666.0,20.2,314.64,26.4,17.2,268
,5.997999999999999,21.4,6.8147,4.0,243.0,16.8,396.9,8.43,23.4,269
0.504,7.162999999999999,79.9,3.2157,8.0,307.0,17.4,372.08,6.36,31.6,270
0.584,5.4270000000000005,95.4,2.4298,24.0,666.0,20.2,352.58,18.14,13.8,271
0.573,6.794,89.3,2.3889,1.0,273.0,21.0,393.45,6.48,22.0,272
0.871,6.129,96.0,1.7494,5.0,403.0,14.7,321.02,15.12,17.0,273
0.431,6.438,8.9,7.3967,7.0,330.0,19.1,377.07,3.59,24.8,274
0.605,6.066,100.0,1.7573,5.0,403.0,14.7,353.89,6.43,24.3,275
0.46399999999999997,6.24,16.3,4.428999999999999,3.0,223.0,18.6,396.9,6.59,25.2,276
0.44799999999999995,6.069,40.0,5.7209,3.0,233.0,17.9,389.39,9.55,21.2,277
0.583,5.905,53.2,3.1523,24.0,666.0,20.2,388.22,11.45,20.6,278
0.547,6.0920000000000005,95.4,2.548,6.0,432.0,17.8,396.9,17.09,18.7,279
0.693,5.987,100.0,1.5888,24.0,666.0,20.2,396.9,26.77,5.6,280
,5.404,88.6,3.665,4.0,277.0,18.6,395.24,23.98,19.3,281
0.52,6.474,97.1,2.4329,5.0,384.0,20.9,395.24,12.27,19.8,282
0.605,6.402,95.2,2.2625,5.0,403.0,14.7,330.04,11.32,22.3,283
0.43700000000000006,5.874,36.6,4.5026,5.0,398.0,18.7,396.06,9.1,20.3,284
0.614,5.303999999999999,97.3,2.1007,24.0,666.0,20.2,349.48,24.91,12.0,285
0.449,6.388999999999999,48.0,4.7794,3.0,247.0,18.5,396.9,9.62,23.9,286
0.524,5.631,100.0,6.0821,5.0,311.0,15.2,386.63,29.93,16.5,287
0.5379999999999999,5.95,82.0,3.99,4.0,307.0,21.0,232.6,27.71,13.2,288
0.445,7.416,62.5,3.4952,2.0,276.0,18.0,396.9,6.19,33.2,289
0.74,5.818,92.4,1.8662,24.0,666.0,20.2,391.45,22.11,10.5,290
0.679,6.782,90.8,1.8195,24.0,666.0,20.2,21.57,25.79,7.5,291
0.507,6.879,77.7,3.2721,8.0,307.0,17.4,390.39,9.93,27.5,292
0.5379999999999999,6.495,94.4,4.4547,4.0,307.0,21.0,387.94,12.8,18.4,293
0.405,6.209,31.3,7.3172,6.0,293.0,16.6,396.9,7.14,23.2,294
,4.138,100.0,1.137,,666.0,20.2,396.9,37.97,13.8,295
,7.249,21.9,8.6966,5.0,226.0,17.9,395.93,4.81,35.4,296
0.532,6.242000000000001,64.7,3.4242,,666.0,20.2,396.9,10.74,23.0,297
,7.061,77.0,3.4106,24.0,666.0,20.2,395.28,7.01,25.0,298
,6.434,100.0,1.8347,24.0,666.0,20.2,27.25,29.05,7.2,299
